Date,AES,LNT,AEE,AEP,AWK,ATO,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE,NEE,NI,NRG,PNW,PPL,PEG,SRE,SO,WEC,XEL
2016-01-04,7.748260974884033,26.471031188964844,37.14142608642578,48.749324798583984,54.68189239501953,55.79967498779297,14.823214530944824,30.613943099975586,53.163063049316406,54.574710845947266,67.02619934082031,56.81859588623047,49.343685150146484,55.208499908447266,36.19442367553711,43.73316192626953,23.470722198486328,25.181774139404297,22.779775619506836,16.65066909790039,10.66511058807373,53.35520553588867,26.20762062072754,32.4047737121582,79.8342056274414,36.952083587646484,43.54897689819336,30.728559494018555
2016-01-05,7.855074405670166,26.59004020690918,37.581642150878906,49.150482177734375,54.52778244018555,56.00544738769531,14.961143493652344,30.85465431213379,53.584075927734375,55.043861389160156,67.71221923828125,57.225643157958984,49.36042404174805,55.5063362121582,36.425071716308594,44.13713836669922,23.630149841308594,25.2137508392334,23.001920700073242,16.915096282958984,11.072107315063477,53.62164306640625,26.487749099731445,32.597354888916016,80.78522491455078,37.21137619018555,44.01569366455078,31.03842544555664
2016-01-06,7.583927631378174,26.62404441833496,37.82331085205078,49.334354400634766,54.292083740234375,56.184383392333984,14.7745361328125,30.89763832092285,53.83997344970703,55.38358688354492,67.40731811523438,57.353336334228516,49.03397750854492,55.152137756347656,36.510498046875,44.231693267822266,23.655324935913086,25.461572647094727,22.927135467529297,17.008930206298828,10.202617645263672,53.696590423583984,26.402149200439453,32.32939910888672,78.82321166992188,37.21922302246094,43.89690017700195,31.36550521850586
2016-01-07,7.394943714141846,26.343523025512695,37.849205017089844,48.76603698730469,53.8841438293457,55.63863754272461,14.482454299926758,31.086788177490234,54.25273895263672,55.41593551635742,66.67048645019531,56.82656478881836,48.791229248046875,54.37126541137695,36.083377838134766,43.956642150878906,23.361629486083984,24.782062530517578,23.02831268310547,16.633607864379883,10.415367126464844,53.679931640625,26.098676681518555,32.49687194824219,74.53935241699219,36.904945373535156,43.8884162902832,31.486007690429688
2016-01-08,7.501760005950928,26.33502197265625,37.55573654174805,48.69082260131836,54.0926513671875,55.70126724243164,14.450000762939453,31.035192489624023,54.83885192871094,56.23290252685547,66.3825454711914,56.69887161254883,48.782859802246094,54.35516357421875,35.95524597167969,43.68159103393555,23.3448486328125,25.25372314453125,23.131690979003906,16.608015060424805,10.48936653137207,53.30525207519531,25.981958389282227,32.17031478881836,75.2504653930664,36.62994384765625,43.67626953125,31.141714096069336
2016-01-11,7.419593811035156,26.420026779174805,37.56436538696289,49.1170539855957,54.618438720703125,55.88915252685547,14.279618263244629,31.018009185791016,54.73978805541992,56.1439323425293,67.03468322753906,57.32938003540039,49.55293655395508,54.37932586669922,36.0919189453125,43.86209487915039,23.546239852905273,25.637441635131836,23.221864700317383,16.880983352661133,9.462628364562988,53.938053131103516,26.37102508544922,32.321041107177734,76.84407043457031,36.80281066894531,44.03266525268555,31.39132308959961
2016-01-12,7.1895294189453125,26.20751190185547,37.44352722167969,48.61561584472656,54.56404495239258,55.54917526245117,14.036214828491211,30.871850967407227,54.07111358642578,55.73141860961914,67.41578674316406,56.88243103027344,49.7203483581543,55.0635871887207,35.49394607543945,43.939449310302734,23.44554328918457,25.725378036499023,23.177879333496094,16.667734146118164,9.157384872436523,53.03880310058594,26.106460571289062,32.321041107177734,76.20147705078125,36.49637222290039,43.74415588378906,31.270822525024414
2016-01-13,7.099146842956543,26.22451400756836,37.23637008666992,48.4317512512207,54.473388671875,55.236045837402344,13.849605560302734,31.060985565185547,55.045230865478516,55.82846450805664,67.96629333496094,57.225643157958984,49.703609466552734,54.90257263183594,35.51957321166992,44.09416580200195,23.109888076782227,25.181774139404297,23.010717391967773,16.608015060424805,9.08338451385498,53.18035125732422,26.067550659179688,32.471763610839844,77.31529998779297,36.77137756347656,43.99024200439453,31.081459045410156
2016-01-14,7.271697521209717,26.61979103088379,37.72836685180664,49.42628479003906,55.18954849243164,56.345420837402344,14.303956031799316,31.559608459472656,55.82120895385742,56.3542366027832,68.87250518798828,57.760379791259766,49.84590530395508,55.62709426879883,35.82710647583008,44.57551193237305,23.420372009277344,26.029157638549805,23.246061325073242,17.060110092163086,9.693876266479492,53.963016510009766,26.581125259399414,33.275604248046875,79.62857818603516,37.038516998291016,44.97459030151367,31.5979061126709
2016-01-15,7.01698112487793,26.53053092956543,37.55573654174805,49.05018997192383,54.826942443847656,56.33647155761719,14.036214828491211,31.112579345703125,55.87074279785156,55.71522903442383,68.2119140625,57.52891159057617,49.48596954345703,54.81402587890625,35.1949577331543,44.17152786254883,23.04275894165039,25.44558334350586,23.1514835357666,16.838333129882812,9.351631164550781,53.29692459106445,25.90414810180664,33.15837097167969,78.81465148925781,37.06209182739258,44.7624397277832,31.417146682739258
