Date,MMM,AOS,ALK,ALLE,AAL,AME,BA,CHRW,CAT,CTAS,CPRT,CSX,CMI,DE,DAL,DOV,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,FBHS,GD,GE,GWW,HON,HWM,HII,IEX,INFO,ITW,JBHT,J,JCI,KSU,LHX,LMT,MAS,NLSN,NSC,NOC,ODFL,PCAR,PH,PNR,PWR,RTX,RSG,RHI,ROK,ROL,SNA,LUV,SWK,TDY,TXT,TT,TDG,UNP,UAL,UPS,URI,VRSK,WAB,WM,XYL
1/4/16,125.8977127,34.70064545,72.49358368,61.51706314,39.09545517,50.85445023,126.0050964,54.96215439,58.21300888,83.36820984,18.83499908,23.77145767,77.10031891,68.75823212,44.22319031,44.73656464,45.25673676,40.18710327,103.204155,41.31826019,17.27765274,135.2509613,38.21135712,51.29277039,121.2050247,26.69292259,181.4272308,87.96889496,21.04574013,114.9473495,70.68560028,29.21009827,80.8660965,67.8312912,40.38975525,25.52023506,69.19033813,80.01477814,187.2701111,26.12195969,38.09418488,73.19168091,173.3001709,38.29027557,39.2343483,87.77350616,29.81525993,20.09991455,53.21418762,38.92386246,41.5519104,90.73617554,10.50483608,151.0236359,40.09740829,95.45092773,87.62000275,41.12508011,38.79624939,172.8354797,70.59983063,55.61000061,80.36194611,70.76000214,74.30528259,67.89802551,47.1195755,33.7313652
1/5/16,126.4465027,34.50679016,71.28231049,61.45033264,38.72276306,50.59365082,126.5162964,56.45651245,57.6051178,83.50041199,18.87000084,23.53180122,76.34618378,69.15585327,44.14139938,43.88741302,44.9360733,39.92372131,103.8265152,41.58898163,17.08849716,136.4013977,37.4018364,50.6665535,121.7127457,26.71899414,179.2370148,88.68932343,20.09207344,117.5383148,69.99497223,29.4177494,79.68500519,68.53507996,39.82128143,25.21519089,69.43436432,80.48948669,191.705719,26.01860237,38.7030983,73.60323334,177.8103638,38.62454224,39.24266434,86.32060242,29.56115341,19.25870705,53.29770279,39.55545425,41.68698883,89.92284393,10.46746826,150.853363,40.57522202,93.48493958,87.51999664,41.22417831,38.38113403,171.1286011,69.92036438,55.06000137,81.15846252,70.05000305,74.03884125,66.70770264,47.29924774,33.72200394
1/6/16,123.8997421,33.82366943,72.30865479,59.83924103,39.40125656,49.44422913,124.5073929,56.18077469,56.69755173,83.12269592,18.52499962,22.46259689,75.99485016,68.37862396,44.46858215,42.95841599,44.13008499,39.46493149,102.996727,40.73946381,17.13578606,132.7426453,36.63778305,48.95617676,120.4835129,26.29309082,178.671524,87.6858902,18.66156197,117.9547653,69.22039032,29.00244141,77.72239685,67.45084381,39.05047989,24.97435188,66.24327087,79.75917816,191.152359,25.81587601,38.47787857,71.10716248,176.0358582,37.70038605,39.25098801,85.17644501,28.88353348,19.2389164,51.8500061,39.69079971,40.579319,87.51856995,10.32629395,150.3604431,40.94791031,92.19248199,86.66999817,39.985466,37.56496811,173.0159302,66.89861298,55.20000076,80.006073,66.69999695,73.65400696,64.37538147,47.88319016,33.30128479
1/7/16,120.88134,32.17124557,68.41583252,58.11374664,38.65585327,48.27549744,119.2878036,56.11850357,54.7454071,82.03681183,17.82999992,21.77129173,74.71796417,67.77310181,42.71455765,42.34151459,43.09877014,37.90163422,99.28155518,39.82461166,16.78757477,126.9150391,35.72821045,46.43266678,116.5107574,25.18052101,176.9481049,85.10437012,17.92464256,115.5673523,67.76448059,28.5772419,75.24472809,65.54867554,38.0002861,24.34016228,64.91990662,78.7276001,187.3403931,24.63729095,37.65209961,69.78305817,173.8547363,36.25188065,38.06131744,83.73262787,28.12121582,18.72429466,51.17070007,39.83515549,40.43522644,83.50552368,10.08132076,147.179245,40.08786011,89.57112885,84.44000244,39.1629715,36.44625092,170.8955078,65.33410645,52.63000107,78.46390533,62.36000061,72.07513428,62.22696686,47.31721497,32.44118118
1/8/16,120.4697266,31.02657509,65.07781219,56.97930908,38.57940674,47.39653397,116.5793915,56.14518356,54.18888474,79.91225433,17.54500008,21.64225769,73.71531677,66.66149139,42.36011505,41.97863007,42.61343765,37.4683075,96.40562439,39.93663025,16.68009567,127.0281982,34.59124756,47.14299011,115.967392,24.72854042,174.8476715,84.41824341,17.49115562,117.7234039,66.85921478,28.19160271,74.61421967,64.85440063,37.33547592,24.30001831,65.44549561,78.36245728,187.0066071,24.07156563,36.97647095,69.59519196,171.9693298,35.9831543,37.62870407,82.22521973,27.61299515,18.50657082,50.33547974,39.81710434,39.43558884,83.5412674,10.01488781,145.6379242,40.33631897,87.7780838,82.73999786,38.7170372,36.10149002,166.5419312,66.03143311,51.88999939,77.43862915,61.81000137,72.40077209,61.12371826,47.02973175,32.1326561
1/11/16,120.4440308,30.22344017,65.34594727,56.71237946,39.2579155,46.55620193,116.7767105,54.92657471,52.63060379,80.55434418,17.56500053,21.67912292,73.2011795,67.0139389,42.47826385,41.34720993,42.59610748,37.21341705,96.01902008,40.13267899,16.71879387,125.3874359,34.40023422,46.58221054,116.9472198,24.8415432,169.7581635,84.4096756,17.33943367,117.0293808,66.62589264,27.89495087,73.8771286,64.05549622,36.99825287,24.30805016,65.48303223,79.36664581,189.1497498,23.71327782,37.52698898,67.96691895,173.8547363,35.72097778,37.62870407,82.06177521,27.52829361,18.27894783,50.39117432,40.15095139,39.44459915,83.52339172,9.998279572,146.1128387,40.17386246,87.6415329,83.69999695,38.53866577,36.22108841,171.8504486,66.8807373,51.61999893,77.66743469,60.95999908,73.06193542,60.76564789,47.48789597,31.86154747
1/12/16,120.7870178,30.64346123,65.68807983,57.30344772,40.13711548,46.81700134,118.3102646,56.02065659,52.74190521,82.00849915,17.58499908,21.84504318,74.23808289,67.34832764,42.67819977,40.98432159,43.28942871,37.57026291,96.5753479,40.60877228,16.95093155,127.0281982,34.58214569,46.62893677,118.0161209,24.89369202,168.4386444,85.05290985,15.77889919,119.3890381,66.96187592,28.09271622,74.40996552,64.39785767,37.63415527,24.54085541,66.89085388,81.16503143,191.442215,24.06214142,37.77722549,67.93112946,174.6033325,36.2846489,37.59542465,82.18891907,27.90340996,18.30863953,50.39117432,40.29530716,39.64272308,84.30098724,10.74981213,147.707962,40.78545761,89.11605835,84.05999756,38.7269516,36.8121109,172.4219055,68.18598938,50.86000061,78.80285645,61.27999878,73.5454483,61.28823471,47.79334641,32.03918457
1/13/16,118.9519882,29.18953514,62.56272125,56.06412888,38.32139587,45.77382278,114.9022903,55.76268768,52.13400269,80.08221436,17.25499916,20.60069847,72.75554657,66.17346191,40.84238815,40.14968491,41.97211075,36.75463104,95.274086,39.78726196,16.66720009,122.86026,34.01821136,44.08672714,115.5537186,24.54601479,166.598526,83.27758789,15.45378113,113.7351379,65.61193085,27.59830284,73.24662018,62.51471329,36.8537178,23.93074417,64.15966797,77.96077728,188.3153229,23.13812065,37.21835709,63.91412735,170.8510132,34.73128128,36.85498428,81.47154236,27.26813698,17.89298058,49.46130753,39.53740692,38.201828,83.09438324,10.50483608,144.7328339,38.60667038,87.58693695,79,37.60715866,36.15777969,166.2336578,66.0224762,48.06000137,76.77768707,57.74000168,70.94033051,59.66239929,46.94887543,31.20710945
1/14/16,121.0614014,29.6141758,63.57060623,57.41783142,38.7514267,46.35336685,115.8708801,56.15408707,53.31555176,80.77152252,17.38999939,21.4394722,74.28092957,66.51687622,41.20591354,40.43273926,41.87678528,37.23892593,97.55600739,40.32872009,16.87355423,124.1898346,33.81809998,45.0587616,115.5447617,25.25875473,169.6145477,84.68411255,15.6921978,115.632103,66.84938049,27.61807823,73.55744171,62.35303497,36.97898102,24.25988007,64.21598816,77.13005829,190.0895996,23.52470398,38.11920547,64.54934692,171.4887543,34.66574478,38.02802277,82.31602478,27.53434372,17.84349823,49.56151962,39.97951126,38.74216461,82.75475311,10.64600658,146.1397705,38.67356873,89.03412628,79.12000275,37.61706543,36.62918472,170.3466187,67.42609406,47.83000183,77.23526764,57.13999939,71.39424133,61.31727219,47.41604996,31.38473511
1/15/16,118.9262543,29.31414795,63.55212021,55.94020462,37.04082489,46.25678253,112.6691895,56.5365715,51.90247726,79.3456955,16.85499954,20.97860718,72.28421783,66.08307648,40.4425087,38.39331818,41.47812653,36.61020279,96.99024963,39.39518738,16.19430923,119.6824417,32.75389862,44.10542679,112.8137436,24.7633152,170.0274048,83.41481018,14.95526314,114.4198914,65.5838089,27.09399605,72.1543045,62.00114441,36.26597977,24.31607628,63.50268936,76.9109726,189.7118835,23.4021244,37.27674866,64.20934296,170.2502594,34.08241272,37.69525146,79.90058899,26.99588394,17.94246101,47.67950439,39.04114914,38.23784256,81.94142151,10.57957458,140.960144,38.00463104,87.10453033,77.62999725,37.01258087,36.40403366,164.1132202,66.25493622,45.66999817,76.29473114,54.90000153,71.108078,61.53985596,46.28409195,30.83313751
1/19/16,118.669014,28.87566948,61.99866867,55.30148697,37.13638306,45.80280685,113.0548172,56.62551117,51.174263,78.84523773,16.64999962,20.95095634,71.57294464,65.48659515,41.76938629,38.64008331,41.67745209,36.65267563,97.9331665,40.0953331,15.8073988,119.9464569,32.1990509,44.40449905,114.0583725,24.7633152,167.4781799,83.47484589,14.60847378,112.7079926,65.25571442,26.77756882,72.54505157,62.07722855,35.1097908,24.50071144,61.83206558,76.99311829,189.0970459,23.29840851,37.55200958,64.28094482,172.5977936,33.38109207,37.46230698,79.79162598,26.66917229,17.36846542,47.46234894,39.47425079,38.40895844,81.56604004,10.59203053,139.7235107,37.84217072,87.07723999,77.01000214,36.46754456,35.58786774,166.038147,66.24601746,45.18000031,76.55739594,54,70.58509064,60.98822403,47.27229309,30.8144474
