Date,APD,ALB,AMCR,AVY,BLL,CE,CF,CTVA,DOW,DD,EMN,ECL,FMC,FCX,IFF,IP,LIN,LYB,MLM,NEM,NUE,PKG,PPG,SEE,SHW,MOS,VMC,WRK
2016-01-04,105.91983795166016,51.372169494628906,7.609095573425293,55.39695739746094,34.571102142333984,59.15276336669922,33.740745544433594,,,62.615909576416016,57.363609313964844,106.52906036376953,30.65167236328125,6.348062038421631,105.81009674072266,30.084762573242188,91.3791275024414,69.62755584716797,129.83993530273438,16.9447078704834,34.05621337890625,53.81910705566406,89.72188568115234,39.89288330078125,242.6318359375,26.014528274536133,88.2939224243164,34.17331314086914
2016-01-05,104.0259017944336,50.58610916137695,7.443509578704834,55.8223876953125,34.978614807128906,59.868350982666016,32.682701110839844,,,62.13936996459961,57.7768669128418,106.9173355102539,30.328853607177734,6.503128528594971,106.6169204711914,30.3403377532959,91.06455993652344,69.99493408203125,127.3255615234375,16.92633056640625,34.40926742553711,53.76732635498047,90.04243469238281,40.282161712646484,243.61285400390625,25.90468978881836,88.41813659667969,34.150787353515625
2016-01-06,101.49250793457031,48.375850677490234,7.443509578704834,55.170658111572266,34.64781951904297,58.30300521850586,29.858478546142578,,,60.772438049316406,56.657657623291016,102.34329223632812,29.06986427307129,5.979777812957764,105.03913116455078,29.861154556274414,90.14778900146484,66.69646453857422,124.12283325195312,17.05497932434082,33.89262008666992,52.59339141845703,88.35719299316406,39.65188980102539,236.5648651123047,24.20212173461914,86.3641128540039,33.204856872558594
2016-01-07,98.09001922607422,46.1933479309082,7.443509578704834,53.51417541503906,33.73212432861328,55.843143463134766,28.44220733642578,,,58.49002456665039,55.73645782470703,99.69165802001953,28.835819244384766,5.437043190002441,104.51918029785156,28.982650756835938,87.8918685913086,63.965030670166016,123.86469268798828,17.330656051635742,32.16181182861328,51.35041809082031,87.23977661132812,38.40060043334961,230.07884216308594,23.369142532348633,84.35787963867188,32.87453842163086
2016-01-08,97.58169555664062,45.324031829833984,7.443509578704834,54.03013610839844,33.45405578613281,55.6195182800293,28.175609588623047,,,58.038551330566406,54.806663513183594,98.82040405273438,28.787397384643555,5.243208408355713,104.29505920410156,28.671178817749023,87.9457778930664,63.56572341918945,120.58546447753906,16.549577713012695,31.378210067749023,50.271446228027344,86.54371643066406,38.3449821472168,230.269287109375,22.801620483398438,82.39937591552734,31.478187561035156
2016-01-11,97.96703338623047,44.427001953125,7.135992050170898,54.04824447631836,33.156822204589844,55.72685241699219,27.034257888793945,,,56.93498611450195,53.59275436401367,99.07609558105469,28.375802993774414,4.177122116088867,105.44255065917969,29.070491790771484,88.47605895996094,60.962059020996094,119.24702453613281,15.630666732788086,31.119892120361328,51.359046936035156,86.50704956054688,38.28937911987305,230.45977783203125,21.785568237304688,82.02680206298828,29.849092483520508
2016-01-12,99.37722778320312,45.268550872802734,6.86001443862915,54.22022247314453,33.842384338378906,56.63923263549805,27.109235763549805,,,56.16998291015625,54.247047424316406,100.11782836914062,28.690553665161133,3.983287811279297,106.07903289794922,29.030569076538086,89.779296875,62.41562271118164,122.33500671386719,15.630666732788086,31.249053955078125,51.359046936035156,87.12071990966797,38.623046875,234.69808959960938,22.48124122619629,82.83885192871094,28.790565490722656
2016-01-13,97.19635009765625,44.12181091308594,6.86001443862915,53.10685348510742,32.90751647949219,56.165157318115234,26.459413528442383,,,54.71525192260742,53.988773345947266,97.66504669189453,27.705947875976562,3.624695062637329,104.03507995605469,28.79097557067871,88.08958435058594,59.85191345214844,117.47834014892578,16.06255531311035,30.672119140625,49.762176513671875,85.22480773925781,37.78886413574219,229.6882781982422,22.09679412841797,79.81993103027344,28.497772216796875
2016-01-14,97.05696868896484,45.22230911254883,6.86001443862915,54.247371673583984,32.993812561035156,56.3619499206543,27.17588233947754,,,55.4802360534668,55.06493377685547,99.26551055908203,28.537212371826172,4.070512771606445,105.06602478027344,29.182308197021484,89.68942260742188,60.994014739990234,118.17626190185547,15.869582176208496,31.18877410888672,50.2023811340332,85.70106506347656,38.29864501953125,231.6693572998047,22.938920974731445,81.50133514404297,28.903169631958008
2016-01-15,96.59783935546875,44.30677795410156,6.86001443862915,53.351253509521484,33.06572723388672,55.413795471191406,26.30112075805664,,,53.87501907348633,53.1536750793457,97.14421081542969,28.278955459594727,4.215888500213623,103.37168884277344,29.086463928222656,87.53234100341797,59.88385009765625,119.20877075195312,16.26471519470215,30.267412185668945,50.46134948730469,84.17151641845703,37.94642639160156,230.58355712890625,23.314224243164062,80.09699249267578,27.81460952758789
2016-01-19,98.04901123046875,44.778411865234375,6.86001443862915,53.378414154052734,33.24311065673828,54.24199676513672,25.201425552368164,,,52.75889587402344,52.68016052246094,96.9453125,28.093332290649414,3.8379123210906982,101.73116302490234,28.46352767944336,88.24237060546875,59.085208892822266,113.95054626464844,14.987434387207031,30.370737075805664,49.494590759277344,83.8967514038086,37.02882385253906,227.9644012451172,22.728389739990234,78.83590698242188,27.371675491333008
2016-01-20,96.38468933105469,44.39924240112305,6.86001443862915,53.42366409301758,32.88833999633789,52.95393371582031,24.343326568603516,,,51.818336486816406,52.327178955078125,97.01162719726562,28.093332290649414,3.944520950317383,100.20716857910156,28.18401527404785,87.91883087158203,57.7753791809082,111.85679626464844,15.217159271240234,30.12101936340332,49.18385314941406,85.65525817871094,36.98246765136719,233.69801330566406,21.90456771850586,77.95697021484375,27.063875198364258
