Date,AAP,AMZN,APTV,AZO,BBY,BKNG,BWA,KMX,CCL,CMG,DHI,DRI,DG,DLTR,DPZ,EBAY,EXPE,F,GPS,GRMN,GM,GPC,HRB,HBI,HAS,HLT,HD,KSS,LB,LVS,LEG,LEN,LKQ,LOW,MAR,MCD,MGM,MHK,NWL,NKE,NCLH,NVR,ORLY,PHM,PVH,RL,ROST,RCL,SBUX,TPR,TGT,TIF,TJX,TSCO,ULTA,UAA,UA,VFC,WHR,WYNN,YUM
2016-01-04,150.0426025390625,636.989990234375,67.02798461914062,735.47998046875,26.382551193237305,1245.3699951171875,38.961727142333984,52.369998931884766,47.30519485473633,448.80999755859375,28.499326705932617,54.953460693359375,68.61555480957031,78.80999755859375,104.18914794921875,25.6677188873291,115.6829833984375,10.638137817382812,21.77291488647461,31.092498779296875,27.775911331176758,72.2507095336914,26.55586051940918,24.616479873657227,58.14516067504883,41.674171447753906,116.67070770263672,39.82624816894531,73.4433822631836,34.985443115234375,34.56890106201172,44.77021789550781,28.84000015258789,68.41265106201172,61.6182746887207,103.31868743896484,21.028932571411133,186.4499969482422,36.037994384765625,57.988189697265625,57.9900016784668,1555.6600341796875,246.11000061035156,15.952890396118164,72.9894790649414,101.01933288574219,52.10625457763672,88.89031982421875,52.74579620361328,28.62053871154785,62.577762603759766,66.8655776977539,32.34770202636719,77.83892822265625,181.80999755859375,39.83000183105469,79.66000366210938,50.173789978027344,127.59391021728516,62.28586196899414,47.05397415161133
2016-01-05,149.0176239013672,633.7899780273438,65.16853332519531,738.8599853515625,26.812938690185547,1210.68994140625,38.33465576171875,52.119998931884766,46.85135269165039,449.0299987792969,28.527462005615234,55.95182800292969,69.01354217529297,79.9800033569336,104.85685729980469,25.366661071777344,114.84983825683594,10.447763442993164,22.430112838745117,31.210792541503906,27.0421085357666,72.50865173339844,26.797643661499023,25.230213165283203,59.204559326171875,41.693931579589844,116.10099029541016,40.01111602783203,75.38883972167969,35.501346588134766,34.95655822753906,44.846893310546875,28.6200008392334,68.55805969238281,61.81620788574219,104.7422103881836,21.501493453979492,186.0500030517578,36.021400451660156,58.7988166809082,57.709999084472656,1594.0899658203125,247.9600067138672,16.101634979248047,73.99259185791016,100.4035873413086,52.45126724243164,87.44112396240234,53.09889221191406,28.90130615234375,63.67531204223633,66.66816711425781,32.85463333129883,77.7831802368164,182.6699981689453,40.07500076293945,80.1500015258789,50.4622917175293,124.84541320800781,63.463279724121094,46.936683654785156
2016-01-06,145.07537841796875,632.6500244140625,63.436767578125,729.2000122070312,25.780014038085938,1196.7099609375,37.08049011230469,48.310001373291016,46.71171188354492,426.6700134277344,27.814743041992188,55.53696060180664,68.89984130859375,80.5199966430664,104.70423126220703,25.648292541503906,113.99755096435547,9.98324966430664,21.58514404296875,30.357433319091797,26.07483673095703,71.07276153564453,26.604217529296875,25.171361923217773,60.689456939697266,39.52031707763672,114.8993148803711,40.22812271118164,73.94342041015625,34.41309356689453,33.99584197998047,43.51460647583008,28.40999984741211,67.19491577148438,59.95954513549805,104.03925323486328,21.161251068115234,182.1199951171875,35.02587890625,57.95990753173828,56.970001220703125,1587.06005859375,241.07000732421875,15.74836540222168,72.29423522949219,97.88627624511719,51.64624786376953,86.32706451416016,52.62811279296875,27.897377014160156,63.0286865234375,65.429931640625,32.00974655151367,76.71434020996094,183.2100067138672,39.935001373291016,79.87000274658203,49.61328125,121.65750122070312,60.175540924072266,46.60435485839844
2016-01-07,146.68182373046875,607.9400024414062,59.88545227050781,735.9600219726562,26.021028518676758,1167.18994140625,34.77506637573242,47.11000061035156,45.7254524230957,416.0,26.755046844482422,55.14860534667969,68.0754165649414,78.44999694824219,101.82359313964844,24.949060440063477,109.94671630859375,9.671034812927246,22.822721481323242,29.4871826171875,25.007492065429688,69.54227447509766,26.370494842529297,25.59173011779785,60.02083969116211,38.03830337524414,111.62360382080078,40.879180908203125,75.41228485107422,31.26117515563965,33.903133392333984,41.626434326171875,28.190000534057617,65.49549102783203,58.263099670410156,101.631591796875,19.488386154174805,176.75,33.457923889160156,56.414058685302734,55.720001220703125,1552.3199462890625,240.1699981689453,15.079015731811523,70.95343780517578,94.68072509765625,51.52164840698242,83.718505859375,51.32440185546875,27.98244857788086,62.858524322509766,63.635353088378906,31.964080810546875,76.65858459472656,182.97999572753906,39.0,78.0,49.003318786621094,118.5988540649414,54.51483917236328,45.01438903808594
2016-01-08,143.4590301513672,607.0499877929688,58.720306396484375,712.0599975585938,24.919246673583984,1136.9599609375,33.75145721435547,46.79999923706055,45.4287109375,413.2900085449219,25.620325088500977,54.73374557495117,67.71533203125,77.79000091552734,103.94117736816406,25.007328033447266,106.69076538085938,9.5491943359375,19.553800582885742,28.346559524536133,24.623916625976562,67.54749298095703,26.02393341064453,24.381074905395508,59.08300018310547,37.8406982421875,110.28837585449219,38.483978271484375,72.84175109863281,31.44658851623535,34.054840087890625,40.36124038696289,27.110000610351562,64.41403198242188,59.04535675048828,101.4734115600586,19.365522384643555,176.82000732421875,32.669803619384766,55.49032211303711,55.06999969482422,1541.4200439453125,234.66000366210938,14.781524658203125,69.86092376708984,93.80238342285156,49.930763244628906,83.1297607421875,51.27008056640625,27.182710647583008,60.73147964477539,61.24858474731445,30.56659507751465,76.08232116699219,182.1699981689453,37.5,75.0,47.98945999145508,116.79811096191406,52.29584503173828,44.40185546875
2016-01-11,144.9275360107422,617.739990234375,60.52389907836914,718.6900024414062,25.33241081237793,1136.280029296875,34.01888656616211,46.9900016784668,47.07827377319336,411.1000061035156,25.976680755615234,54.68961715698242,65.9906997680664,77.36000061035156,101.31806945800781,25.34723663330078,106.48963165283203,9.72433853149414,19.357492446899414,28.050844192504883,25.224294662475586,67.98599243164062,26.10453224182129,25.633766174316406,60.79365921020508,38.018550872802734,111.96183013916016,40.25224685668945,72.67768096923828,31.43046760559082,33.43964385986328,40.639198303222656,26.729999542236328,66.04985046386719,59.52601623535156,102.53663635253906,19.68686294555664,175.67999267578125,32.64491271972656,56.131282806396484,56.0,1543.3699951171875,237.94000244140625,15.023235321044922,69.29481506347656,92.39883422851562,50.4003791809082,84.77824401855469,52.347442626953125,27.88035774230957,61.6163215637207,60.871707916259766,30.963930130004883,76.81657409667969,182.0,34.97999954223633,69.95999908447266,46.53047561645508,115.80726623535156,51.435420989990234,44.32366180419922
2016-01-12,145.9328155517578,617.8900146484375,59.81362533569336,728.989990234375,25.93494987487793,1148.9200439453125,34.489192962646484,47.65999984741211,47.72414016723633,404.260009765625,26.445575714111328,55.175079345703125,67.0235824584961,78.69999694824219,104.6947021484375,25.454063415527344,107.15998840332031,9.785259246826172,19.502592086791992,28.008604049682617,25.265989303588867,68.47610473632812,26.04811668395996,25.74306297302246,61.50570297241211,38.65087127685547,113.4839859008789,40.372802734375,74.3184585571289,31.365976333618164,33.397491455078125,41.29095458984375,27.020000457763672,66.5860366821289,60.6192741394043,103.19567108154297,19.970399856567383,178.97000122070312,33.159263610839844,56.498897552490234,55.849998474121094,1576.8199462890625,243.1300048828125,15.08830738067627,69.5927505493164,94.13742065429688,52.182918548583984,85.15863800048828,53.832237243652344,27.72721290588379,62.41610336303711,61.383182525634766,31.475412368774414,78.6846923828125,185.6199951171875,36.07500076293945,72.1500015258789,47.57732009887695,115.72111511230469,50.37572479248047,45.33367919921875
2016-01-13,140.10813903808594,581.8099975585938,55.983001708984375,704.2000122070312,25.186084747314453,1098.9000244140625,31.206270217895508,46.2400016784668,45.71672439575195,428.2799987792969,25.545299530029297,54.60134506225586,64.89151000976562,75.4800033569336,102.97774505615234,24.67713737487793,101.86422729492188,9.290285110473633,19.186792373657227,27.425615310668945,25.424421310424805,66.55010223388672,25.427539825439453,25.020036697387695,59.465065002441406,36.635337829589844,108.06300354003906,40.171871185302734,72.07608032226562,29.802108764648438,32.108123779296875,39.77656936645508,25.3799991607666,63.52345657348633,56.80228805541992,101.15706634521484,18.92131805419922,169.5,31.500062942504883,55.405494689941406,52.310001373291016,1526.739990234375,235.67999267578125,15.153386116027832,69.47359466552734,91.25788116455078,50.01702880859375,80.64801025390625,52.39271926879883,26.816871643066406,60.952693939208984,59.848819732666016,30.913677215576172,75.79421997070312,179.08999633789062,35.935001373291016,71.87000274658203,46.678855895996094,111.97317504882812,47.52273941040039,45.28120040893555
2016-01-14,139.2802734375,593.0,55.40043258666992,712.6099853515625,22.750104904174805,1121.3800048828125,30.302541732788086,47.060001373291016,45.332698822021484,454.29998779296875,25.245206832885742,54.43364334106445,64.80621337890625,75.69999694824219,102.19561767578125,25.114158630371094,103.10916900634766,9.282670021057129,19.81838607788086,28.02549934387207,25.265989303588867,67.49588012695312,26.056175231933594,25.120925903320312,60.95863723754883,36.35868835449219,106.47856903076172,39.54494094848633,73.59964752197266,30.189048767089844,32.68960189819336,39.34525680541992,25.81999969482422,63.53252410888672,57.2452507019043,102.47514343261719,19.157596588134766,170.57000732421875,31.09355354309082,55.150997161865234,50.79999923706055,1515.0,235.99000549316406,14.939567565917969,68.3115463256836,91.49330139160156,50.62079620361328,79.61546325683594,53.39765167236328,27.021060943603516,59.90619659423828,59.99237823486328,31.269908905029297,77.14186096191406,177.8800048828125,34.935001373291016,69.87000274658203,45.78864288330078,115.47987365722656,46.644203186035156,45.92405700683594
2016-01-15,142.20733642578125,570.1799926757812,53.84424591064453,704.739990234375,23.335430145263672,1086.739990234375,28.651853561401367,45.02000045776367,43.491111755371094,475.94000244140625,24.992006301879883,53.162620544433594,65.27052307128906,75.30000305175781,99.35315704345703,24.531463623046875,98.40716552734375,9.115138053894043,19.85252571105957,27.47631072998047,24.657268524169922,67.4700927734375,25.685441970825195,24.42311668395996,62.58245849609375,35.074283599853516,106.13143920898438,38.70098876953125,72.14640045166016,31.212812423706055,32.6221809387207,39.21106719970703,25.959999084472656,62.948570251464844,56.12371826171875,101.20980072021484,18.770097732543945,165.44000244140625,30.803186416625977,54.25553512573242,47.81999969482422,1512.02001953125,232.16000366210938,14.818710327148438,67.88447570800781,91.16732788085938,50.11285400390625,75.1048355102539,52.51041793823242,26.740293502807617,59.62543487548828,60.70122528076172,30.83147621154785,75.73844909667969,170.4499969482422,34.314998626708984,68.62999725341797,45.31879425048828,110.83585357666016,52.86643981933594,44.00864028930664
