Date,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BLK,COF,CBOE,SCHW,CB,CINF,C,CFG,CME,CMA,DFS,RE,FITB,FRC,BEN,GL,GS,HIG,HBAN,ICE,IVZ,JPM,KEY,LNC,L,MTB,MKTX,MMC,MET,MCO,MS,MSCI,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RJF,RF,SPGI,STT,SIVB,SYF,TROW,BK,TRV,TFC,USB,UNM,WRB,WFC,WLTW,ZION
1/4/16,26.09850502,55.05122375,62.05619812,52.71946335,90.58145142,85.57888794,35.70676804,70.14936829,14.8904829,292.7472839,64.36512756,61.68414688,30.0085659,101.9706802,49.82104492,45.27387238,21.8182888,74.0613327,35.33203506,46.77309418,162.4896698,16.59868813,61.80772781,28.41825676,54.03189087,162.5705261,38.20264053,8.860533714,47.19820404,25.73974419,55.24343491,10.93773174,42.90271378,36.73664093,103.6806564,105.3505554,48.69673157,34.67319489,91.49758148,27.67616463,66.54826355,51.53061676,62.67192459,12.48169327,80.23125458,36.34031296,25.65693474,64.04982758,52.15939713,8.066146851,89.88294983,57.34069443,116.5299988,26.62335968,60.95036697,35.45745468,97.66213989,30.76480865,35.78303146,27.55059814,32.09169006,44.62352371,115.9857483,23.9016571
1/5/16,26.06322479,54.92419815,61.10134506,52.90267563,90.2252121,86.09778595,35.80447388,71.31972504,14.8904829,293.5030823,63.20046234,60.82621765,29.91473007,103.0017624,50.11543274,45.03479385,21.71680832,74.64599609,34.94827271,46.66661835,161.8525085,16.64963531,62.31733704,28.3711338,54.69385529,159.7713623,38.81116867,8.877098083,48.36036682,25.66993523,55.33894348,10.84489536,42.93766403,36.84360123,104.2542953,106.1314087,49.10015488,34.0137291,92.76812744,27.50032616,67.04776764,52.31440353,62.76069641,12.47377872,80.34321594,36.42283249,25.89602661,63.83323288,52.27048492,8.049056053,90.18634796,57.42871857,116.5599976,26.77453041,61.20218658,35.3243866,98.10617065,30.77319717,35.95555878,27.40758896,32.36864471,44.60666275,116.7837372,23.64215088
1/6/16,25.66632271,54.30717468,59.40459061,52.12623215,87.15800476,84.79584503,35.11165619,70.38166046,14.57327747,290.1634827,62.3724823,60.20927811,28.89192581,101.0830231,49.43141174,44.37955093,21.37854576,74.2784729,34.54745102,45.75263214,160.4975586,16.40340614,61.77887726,27.64850426,53.63854218,155.8709106,37.79994202,8.736321449,47.92853928,25.2278862,54.54007721,10.65078545,40.99786377,36.02680588,102.1450272,104.8492279,48.5084877,32.51161575,91.11170959,26.81458092,66.5293808,52.1594696,61.26916122,12.35505486,78.88774109,34.92102432,25.60746765,61.70730972,50.23374176,7.912340641,89.20031738,55.51853561,114.6100006,26.58779144,59.8302002,34.43727875,96.83623505,30.34509277,35.41207886,26.65888596,31.9592247,43.75483704,111.3454666,22.95310783
1/7/16,25.2297287,53.02775955,58.86974716,50.87869263,84.39496613,83.55994415,34.3833046,68.80036926,14.04762459,277.4815674,59.21518326,60.59487152,27.38117599,100.0429764,48.33177948,42.11276627,20.7950325,73.10915375,33.84814072,44.90074539,158.8105621,15.88549709,60.84618378,26.76092148,52.73673248,151.0802765,36.86927032,8.471334457,47.72014618,24.43685341,52.3345108,10.27944183,39.84707642,35.16138458,99.26797485,103.2103577,48.14092636,31.14872169,87.26246643,25.47824669,65.49268341,52.04098892,59.64440918,12.07012081,76.88973236,33.19643021,25.17050934,59.19635773,48.15994644,7.656002045,86.39382172,53.00978088,108.8199997,25.89419937,58.2324028,33.56791687,94.52720642,29.48048592,34.73920822,25.91859055,31.41734123,42.50662994,106.6774445,22.26407051
1/8/16,25.00922775,52.83720398,58.6761055,50.11969757,82.49209595,82.09764099,34.01912308,67.96056366,13.77573395,270.4945679,58.44178009,60.29603195,27.21226692,98.59046936,48.08068848,40.84653854,20.14386749,72.02329254,33.25969315,44.34171295,157.1145782,15.61380577,59.87503052,26.43102837,52.20907593,150.4562225,36.37707901,8.322278023,46.98792648,23.36663055,51.16226578,10.06001186,38.86320114,34.90856934,97.22929382,101.9281921,47.46856689,30.79700279,84.77784729,24.95074844,64.55962372,50.86528397,58.53463745,11.83267689,75.75291443,33.12216568,24.79950523,58.60271072,47.05826187,7.485110283,83.91919708,51.6277504,106.8000031,25.6452179,56.75618362,32.95582581,94.12757874,28.84252739,34.24750137,25.59051323,31.31498337,41.79818344,108.2272568,22.01350784
1/11/16,25.17240334,52.64665222,59.06340408,50.3290863,83.1177063,81.52214813,33.45066833,69.14875793,13.87542725,270.9691467,58.92400742,60.97080994,26.96829605,98.88635254,48.3923912,41.48407364,20.21151543,72.62467194,33.04649734,44.80314636,157.6171112,15.4270153,59.432724,26.31320763,52.22826767,152.0990448,36.61869049,8.363683701,47.43288803,23.21152115,51.08411026,10.07689285,37.94960403,34.85994339,96.31147003,102.6897964,46.77827454,30.56252861,85.51194763,25.0210743,64.21089935,52.20503616,58.49911118,11.86433697,76.02849579,32.60230637,25.26120186,58.47434998,47.46560287,7.416750431,83.88127899,51.4428978,105.4599991,25.52072525,56.45225143,33.1953392,94.83803558,29.11114883,34.38552856,25.43908501,30.89953423,42.24517441,106.6959991,21.57502937
1/12/16,25.48992348,53.21831512,59.38615417,50.56462097,83.5434494,82.22029877,33.64608002,69.49720001,13.87542725,275.600769,59.87030029,61.36603928,27.43747139,100.509201,48.72141266,41.51063156,20.21151543,72.87526703,32.84181213,45.25570297,157.6260681,15.51192284,59.63465881,26.70594406,52.41054535,152.080658,37.02139664,8.429930687,47.66381836,23.11070251,51.19700241,10.16972733,38.21314621,34.90856934,97.51169586,102.4584198,47.21755219,30.76769829,85.80368805,25.0210743,65.21933746,52.47846222,58.87201309,11.88807964,76.64855957,32.7425766,25.33540154,58.65886688,46.93790054,7.468018532,84.11830139,52.24393845,104.2900009,25.69856834,57.9284668,33.46147537,95.89485168,29.29581451,35.04114151,25.39702225,30.62859917,43.31628036,107.2342682,21.4855423
1/13/16,25.09742928,52.54683685,57.95682907,49.43922424,80.29382324,81.05041504,32.86444473,70.08683014,13.50384331,267.7086182,57.90494919,60.45026398,26.00179291,98.68013,47.82959747,40.01420212,19.63646317,70.30270386,31.27264023,43.8359108,155.041748,14.71382618,58.51926041,25.90476227,51.3456459,145.9133759,35.87593842,8.073849678,46.30263901,22.56007576,49.79029083,9.857461929,36.70218277,34.20844269,94.18454742,99.1999588,46.82310486,31.44181633,81.98267365,23.64078522,63.86219788,50.79236603,57.48700333,11.4685936,74.41803741,31.60385513,24.82424164,57.61598206,44.91966248,7.117689133,79.993927,50.00806427,99.08999634,24.51589966,56.33067703,32.34371567,94.1897583,28.30529976,33.65226364,24.62308693,29.87598038,41.94156265,104.7285767,20.48329926
1/14/16,25.27823448,53.00960922,58.36257172,49.98884201,82.62242889,82.44670105,33.48620224,70.87302399,13.58541393,272.4456787,58.77842712,60.97080994,26.38651657,99.54085541,48.65214157,40.18244553,19.365839,70.74539185,31.49438286,44.51031113,156.6300507,14.98551846,60.53850174,26.2110939,51.71979523,148.1159515,36.01912689,8.156661987,46.95037079,22.97886276,50.53705978,9.984056473,36.46499634,34.79188156,94.61699677,100.6845856,48.02439117,31.87413216,82.93321228,23.86936951,64.08839417,52.39643478,58.36594391,11.72187042,75.25836182,32.17322922,24.91493225,57.81651688,45.72509766,7.143322468,80.49645233,50.5626297,98.52999878,25.05832672,56.94722748,32.88485336,95.00679779,28.55712509,34.44591141,24.79974556,30.33357048,42.70903397,106.1484604,20.57278633
1/15/16,24.96512794,52.74647141,58.01214981,48.93323135,80.6587677,81.22022247,33.40626144,69.92603302,13.10507488,260.6514282,57.18614197,61.52027512,25.35433006,99.54085541,47.7256813,37.60574722,18.87535477,70.75370789,30.7439003,43.62294388,155.4276276,14.53552818,60.90387344,25.61414146,50.79880142,142.8113556,34.97211075,7.933075905,46.08297348,22.30415344,49.52980042,9.713988304,35.50746918,34.47099304,92.21647644,98.1105957,46.80517578,31.5663929,80.92858887,22.83195114,63.57001877,51.48504639,56.62579346,11.46067905,74.79055023,31.28204536,24.65934753,56.29228592,44.66044235,7.006608009,78.90357208,48.38836288,96.59999847,24.57814598,56.40014267,31.74050522,93.33717346,27.81843185,33.68677521,23.90802956,29.64717865,41.1740799,104.4316025,19.99113464
