Date,ABT,ABBV,ABMD,A,ALXN,ALGN,ABC,AMGN,ANTM,BAX,BDX,BIO,BIIB,BSX,BMY,CAH,CNC,CERN,CI,CVS,DHR,DVA,XRAY,DXCM,EW,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,IQV,JNJ,LH,LLY,MCK,MDT,MRK,MTD,PKI,PRGO,PFE,DGX,REGN,RMD,STE,SYK,TFX,COO,TMO,UNH,UHS,VAR,VRTX,WAT,WST,ZBH,ZTS
1/4/16,38.76443481,45.65857315,85.23999786,38.8733902,184.6799927,64.26999664,92.86483765,136.6635437,129.7474823,35.20946884,137.9563904,136.1900024,294.6199951,17.98999977,58.06290054,74.65799713,33.01499939,57.09392548,146.369751,83.58773041,46.17835999,68.66999817,56.80100632,78.48999786,26.28000069,83.48762512,64.34484863,60.88627625,37.83000183,173.6294861,71.12000275,181.2799988,103.3199997,182.4633331,67.04000092,87.79920959,122.8899994,72.77002716,185.5262756,67.91259766,45.15596008,329.3399963,51.33450699,134.1739807,24.85175705,63.17319489,516.5499878,48.34282684,69.91080475,84.73610687,124.3631821,131.6738586,136.6125031,107.64254,116.0517731,68.96818542,122.8899994,130.3500061,56.02866364,97.77897644,45.63977432
1/5/16,38.7553978,45.46834946,85,38.73963547,184.8999939,64.94999695,94.22311401,136.5167999,131.6394806,35.35154343,138.3946533,136.1799927,296.7000122,18.18000031,59.20632172,76.12654877,33.48500061,57.01538849,143.9627228,83.83036804,46.26397705,69.12000275,57.95903015,80.76000214,26.67000008,84.55241394,64.490448,61.09411621,37.91999817,173.5135345,71.83000183,178.0200043,103.8000031,183.9866638,67.11000061,88.16622162,122,73.85888672,186.3172607,68.10978699,45.73246002,331.3800049,51.9023819,134.3434143,25.03066063,63.19103241,508.980011,48.55578995,69.83558655,85.55503082,124.6838379,131.3942719,136.3761749,107.8459091,116.5536957,69.13479614,123.4499969,129.8099976,55.318573,99.81505585,46.35425568
1/6/16,38.430336,45.4762764,85.30000305,38.91160202,184.0700073,64.87000275,92.78279877,135.2653503,128.4239655,35.4367981,137.0146332,134.8099976,293.6799927,18,58.16686249,74.05531311,32.98500061,56.56381989,142.8540497,82.80783844,45.72504044,68.16000366,57.11946487,79.38999939,26.81333351,85.43830872,64.04394531,60.47451019,38.41999817,170.596405,71.31999969,177.5599976,102.2600021,184.4133301,66.73999786,87.72058868,120.8399963,73.39349365,184.0300446,68.29798126,45.10435104,324.7399902,51.1582756,135.8499451,24.58729553,62.20899582,519.4799805,47.59283447,69.94842529,85.42326355,127.6765366,131.4042511,135.33255,106.7459869,113.8669739,68.77526855,122.2300034,129.7100067,55.68820953,100.2472,46.36391068
1/7/16,37.50930786,45.34153366,81.91999817,37.25883484,174.3699951,63.5,89.82006836,132.0372772,126.2243805,34.84950638,134.7673645,131.9900055,284.0100098,17.63999939,56.55567932,72.15384674,31.78499985,56.61290359,141.196106,81.61199951,44.55144119,67.62000275,56.61765671,81.79000092,25.85333252,81.98841858,62.40353775,59.4784317,37.36999893,169.1861115,69.80999756,167.7200012,95.76000214,178.9666595,65.18000031,86.69824982,118.5899963,71.48796844,178.9885101,66.69361115,44.70853806,315.730011,49.01401901,135.8781738,24.42395401,60.84302902,501.9599915,48.01875687,68.15293121,83.24884796,125.0627823,127.7793732,132.2409058,103.6034164,111.1113358,67.34591675,114.9599991,128.8200073,54.46258926,97.94226074,44.95426178
1/8/16,36.72372055,44.10517502,84.58000183,36.86714935,168.1300049,64.52999878,89.30049133,130.0780945,123.1487122,34.29063416,132.743988,130.5099945,280.5899963,17.43000031,55.1177597,71.18613434,31.27499962,57.66329956,138.5693665,81.07473755,44.57662964,67.66999817,54.996418,79.59999847,25.34666634,82.15878296,62.38412094,58.93333435,36.54999924,167.0223999,69.09999847,165.1699982,94.77999878,178.8466644,65.09999847,85.77202606,116.25,71.34746552,173.8230743,66.1289444,43.95135117,313.9299927,48.28948593,132.4697113,24.11281776,60.52880478,491.6799927,48.25949097,66.31985474,82.73113251,124.7713089,128.5283356,132.0931702,101.8195419,110.5995407,67.12669373,110.7099991,126.7200012,53.9275856,97.52927399,44.29771423
1/11/16,36.7779007,42.7023735,85,36.2461586,161.6499939,61,85.745224,127.4714966,119.6349564,33.71279907,131.6156769,130.4900055,278.5400085,17.12999916,54.55471039,67.28982544,30.40999985,56.21041107,134.5642853,82.25325012,44.55144119,67.23000336,53.92524719,77.81999969,25.30999947,82.20137024,65.83966064,57.40392303,36.08000183,163.2551575,68.47000122,165.7100067,92.19000244,179.8600006,64.56999969,85.25646973,115.6200027,70.48690033,155.8680115,65.42985535,44.09763336,310.8599854,46.75229263,135.2191162,24.16726685,60.99566269,480.8200073,48.44468689,65.45500946,82.39225006,122.4295731,127.4798203,132.802124,101.283432,112.6465912,66.74962616,103.9499969,126.0800018,53.69413757,95.84855652,43.04255676
1/12/16,37.43707657,43.46321869,88.31999969,36.48500061,166.1199951,61.77000046,85.85462952,130.1471252,126.3828659,33.60860062,132.8279114,130.4499969,278.6700134,17.79000092,54.95317459,67.81613922,31.52000046,58.07559204,138.9089203,82.92050171,44.60181808,67.44999695,54.5139122,77.88999939,25.91666794,82.71244812,64.69428253,57.4313736,36.65000153,163.0812836,69.26000214,168.6399994,88.08999634,180.706665,65.13999939,85.84191895,115.1200027,70.60106659,156.306366,68.5131073,44.5364418,317.019989,47.53557968,138.0061798,24.11281776,61.26498795,474.980011,49.19469452,65.44563293,83.52184296,125.7234879,127.4198837,134.8598938,103.7605591,110.5208206,66.96008301,103.6399994,126.8199997,54.53067017,98.79701233,43.41910172
1/13/16,36.60109711,40.98852921,85.80999756,35.21437836,157.9199982,58.86000061,84.90658569,125.5467911,125.0221176,32.9928894,131.8302002,126,267.25,17.54999924,53.08213425,66.35607147,30.62999916,57.26081085,135.0936279,81.5513382,43.57931519,66.12999725,53.57785416,71.31999969,24.93666649,78.82813263,63.04417038,56.73333359,35.47000122,158.3095245,67.40000153,164.4900055,78.41999817,181.7133331,63.75999832,84.77587891,111.7699966,69.63510895,150.4262085,66.90872955,43.58996964,311.5799866,46.17264938,134.7200775,23.62278366,59.86444092,459.5700073,49.18542099,62.98269272,84.06777191,125.6846542,125.2729263,131.7092438,100.9599686,107.3715286,66.03933716,96.37000275,123.9199982,54.27776337,97.19312286,41.75842667
1/14/16,37.34619904,43.69546127,87.87999725,35.93089676,167.2899933,59.99000168,85.43530273,132.192688,128.7128754,33.4475708,135.5879822,127.1699982,280.5700073,18.15999985,55.01380157,69.42046356,31.29000092,57.12337494,138.5493622,82.76450348,43.97722244,67.44999695,54.48496246,72.40000153,25.70000076,79.23699951,63.20918655,57.49411774,35.36000061,161.5357971,68.09999847,175.1100006,80.98000336,185.2566681,63.95999908,86.40988922,111.6900024,72.48023987,157.0402374,67.03423309,44.57086182,310.6600037,47.16297531,136.9139709,24.19838333,60.06196594,479.0799866,50.15766144,63.84754944,85.58328247,125.5097427,123.8649139,133.6980743,102.3741302,109.4185562,66.69701385,101.9100037,127.0299988,55.26022339,98.63374329,42.60807037
1/15/16,36.83735657,45.92188263,87.41000366,35.45321274,158.6799927,59.86000061,84.5692749,130.5872803,125.8143082,33.24864197,132.8092804,124.6299973,273.3299866,17.87000084,54.38147354,68.96208191,30.45499992,55.72940445,136.062439,81.36933899,42.90940857,66.47000122,54.5139122,70.23999786,24.89666748,78.23184204,62.38412094,57.53725433,34.95999908,156.6384583,67.12000275,171.1499939,76.94999695,185.75,63.34000015,84.75839233,111.0699997,71.33866882,157.2499084,66.25444794,44.00297165,313.6199951,46.48642349,136.5373383,23.96503258,59.04746246,462.9500122,49.34283829,63.29291916,85.76212311,126.1121521,121.6879959,130.7147675,100.9969254,107.4404068,66.71455383,97.91000366,126.2399979,54.81180954,97.07788086,41.88392639
