Date,APA,BKR,COG,CVX,COP,DVN,FANG,EOG,XOM,HAL,HES,HFC,KMI,MRO,MPC,NOV,OXY,OKE,PSX,PXD,SLB,FTI,VLO,WMB
1/4/16,39.54390717,28.73189926,16.47584152,71.63825226,40.9204216,29.11630058,63.14608383,64.9670639,60.13707733,31.09039116,43.65796661,33.40441895,12.11986637,11.98378754,42.61278915,33.14007187,53.49477005,17.77925301,66.82382965,119.8914566,57.94578552,27.31667519,55.39455032,19.16998291
1/5/16,38.74287033,27.9231472,16.45710754,72.25101471,41.3743248,29.57574844,62.26734161,65.3866272,60.64949417,31.01826096,43.55828476,34.12663269,12.3659153,11.92770386,42.0805397,32.19210815,54.38358688,17.79328346,67.59152222,120.6820602,58.2138176,26.93338394,56.36083221,19.23573303
1/6/16,34.29274368,26.54280281,15.00528431,69.39678955,39.58493042,27.21545029,59.41137314,62.76667023,60.14485931,30.13459015,40.83986282,32.22563553,11.72301483,10.54424,40.5170784,30.00894737,51.93144608,16.98672485,65.11318207,111.9854736,56.70611191,25.3441124,55.96479797,16.72989845
1/7/16,32.53047562,25.85567093,15.52981091,66.93763733,38.45892334,25.27856827,57.69208908,61.03248596,59.18215561,29.67473412,39.52594757,32.16753769,11.31028748,9.974027634,39.90999222,29.43443108,50.99502563,15.97678471,63.79472351,112.2457886,55.44132996,25.0823555,57.09739685,15.05691338
1/8/16,32.61949539,25.28407097,16.11054039,66.22003937,37.78680801,25.67495537,58.03593826,61.08842087,57.98656082,29.26896667,39.48971176,31.1630764,11.72301483,9.674899101,38.41304779,28.66840935,50.1300354,16.16614342,62.75999451,111.6865845,54.51157761,24.30641747,54.06392288,14.83774376
1/11/16,31.2043438,25.24149895,14.98654938,65.12348175,35.89266205,24.29661369,55.01761627,59.36355591,57.210186,28.44842529,37.77708817,31.6030407,11.23885155,8.992515564,38.02218628,28.67797661,48.58256149,15.85755539,63.56942749,109.4401398,54.30217743,23.78289604,54.70547485,13.65423107
1/12/16,31.52474594,24.95570564,14.49948597,66.23615265,35.13327408,23.17051888,55.89636612,58.66427612,58.38250732,28.37628937,35.883255,31.92679405,10.79437923,8.59056282,38.57937622,29.13759613,48.38415909,15.32452202,64.9379425,109.1798019,54.2267952,23.6052742,56.3845787,12.08352184
1/13/16,31.6849575,23.86723518,14.7055521,65.57501984,34.04216385,22.34171677,56.84197617,59.98991394,58.73187256,27.46557999,34.96805191,29.26207733,10.27847004,7.98295927,35.16137695,27.84493256,47.93183517,14.70733547,62.79336166,110.1054001,53.56508255,23.13784027,51.50567627,9.942968369
1/14/16,32.95769501,25.0347538,15.27691174,68.91301727,36.00613785,23.3867321,59.86986542,61.0089035,61.42584991,28.70991516,36.20946503,30.12541199,11.09598541,8.478390694,36.309021,29.21419716,50.78869247,15.97678471,66.15625763,111.8022919,54.17654037,23.85768318,53.31942368,13.36200809
1/15/16,31.44465256,24.25640869,15.37057877,67.46170044,34.35640335,22.06244659,60.32834625,58.86808014,60.23023987,27.81723976,35.08585358,28.20780373,10.31815624,7.609052181,34.44616699,28.67797661,49.82847977,15.38764286,65.48033905,109.0833893,52.77772522,22.7451992,52.59867859,11.76207256
