Date,CHTR,TTWO,DHR,WST,IDXX,AJG,KEY,PGR,AMD,CDNS,PAYC,PYPL,SNPS,ZBRA,NEM,NEE,ODFL,ROL,TDY,CHD,BWA,DG,TGT,TSLA,AAPL
2016-01-04,177.52999877929688,34.16999816894531,46.17835998535156,56.028663635253906,71.12000274658203,35.70676803588867,10.937731742858887,25.65693473815918,2.7699999809265137,20.530000686645508,35.970001220703125,34.75,44.91999816894531,66.48999786376953,16.9447078704834,22.779775619506836,38.347957611083984,10.512674331665039,87.62000274658203,38.739471435546875,38.961727142333984,68.61555480957031,62.577762603759766,44.68199920654297,24.36453628540039
2016-01-05,175.1699981689453,34.75,46.26397705078125,55.318572998046875,71.83000183105469,35.804473876953125,10.844895362854004,25.896026611328125,2.75,20.540000915527344,34.869998931884766,34.310001373291016,44.970001220703125,64.81999969482422,16.92633056640625,23.001920700073242,38.6827278137207,10.475276947021484,87.5199966430664,38.410125732421875,38.33465576171875,69.01354217529297,63.67531204223633,44.68600082397461,23.753976821899414
2016-01-06,174.30999755859375,34.0099983215332,45.725040435791016,55.688209533691406,71.31999969482422,35.111656188964844,10.650785446166992,25.607467651367188,2.509999990463257,20.200000762939453,34.9900016784668,33.97999954223633,44.310001373291016,62.22999954223633,17.05497932434082,22.927135467529297,37.75718307495117,10.334001541137695,86.66999816894531,38.229190826416016,37.08049011230469,68.89984130859375,63.0286865234375,43.80799865722656,23.28911590576172
2016-01-07,173.6300048828125,32.41999816894531,44.55144119262695,54.462589263916016,69.80999755859375,34.383304595947266,10.279441833496094,25.170509338378906,2.2799999713897705,19.75,35.540000915527344,33.130001068115234,43.279998779296875,59.40999984741211,17.330656051635742,23.02831268310547,36.30649185180664,10.088844299316406,84.44000244140625,37.61221694946289,34.77506637573242,68.0754165649414,62.858524322509766,43.130001068115234,22.30620765686035
2016-01-08,174.88999938964844,32.34000015258789,44.576629638671875,53.92758560180664,69.0999984741211,34.01912307739258,10.060011863708496,24.79950523376465,2.140000104904175,19.239999771118164,33.2599983215332,32.689998626708984,42.349998474121094,59.25,16.549577713012695,23.131690979003906,36.037357330322266,10.022360801696777,82.73999786376953,38.066829681396484,33.75145721435547,67.71533203125,60.73147964477539,42.20000076293945,22.42415428161621
2016-01-11,175.6300048828125,32.77000045776367,44.55144119262695,53.69413757324219,68.47000122070312,33.45066833496094,10.076892852783203,25.261201858520508,2.3399999141693115,19.280000686645508,32.959999084472656,33.040000915527344,42.09000015258789,58.86000061035156,15.630666732788086,23.221864700317383,35.7747917175293,10.005739212036133,83.69999694824219,38.326622009277344,34.01888656616211,65.9906997680664,61.6163215637207,41.56999969482422,22.78725814819336
2016-01-12,175.32000732421875,33.619998931884766,44.6018180847168,54.530670166015625,69.26000213623047,33.646080017089844,10.169727325439453,25.33540153503418,2.390000104904175,19.139999389648438,33.22999954223633,33.08000183105469,42.02000045776367,59.849998474121094,15.630666732788086,23.177879333496094,36.33930969238281,10.757831573486328,84.05999755859375,38.841529846191406,34.489192962646484,67.0235824584961,62.41610336303711,41.99399948120117,23.11797523498535
2016-01-13,167.99000549316406,32.5,43.579315185546875,54.27776336669922,67.4000015258789,32.864444732666016,9.857461929321289,24.824241638183594,2.25,18.65999984741211,30.899999618530273,32.119998931884766,40.529998779296875,56.5099983215332,16.06255531311035,23.010717391967773,34.78360366821289,10.512674331665039,79.0,36.48497009277344,31.206270217895508,64.89151000976562,60.952693939208984,40.0620002746582,22.523605346679688
2016-01-14,172.30999755859375,32.689998626708984,43.97722244262695,55.260223388671875,68.0999984741211,33.486202239990234,9.98405647277832,24.914932250976562,2.2100000381469727,19.3799991607666,31.809999465942383,32.869998931884766,41.25,57.83000183105469,15.869582176208496,23.246061325073242,34.71795654296875,10.65395450592041,79.12000274658203,36.29014205932617,30.302541732788086,64.80621337890625,59.90619659423828,41.236000061035156,23.016216278076172
2016-01-15,165.0800018310547,32.58000183105469,42.90940856933594,54.81180953979492,67.12000274658203,33.4062614440918,9.713988304138184,24.659347534179688,2.0299999713897705,19.0,32.02000045776367,32.310001373291016,40.959999084472656,56.54999923706055,16.26471519470215,23.1514835357666,34.13373947143555,10.587467193603516,77.62999725341797,36.61486053466797,28.651853561401367,65.27052307128906,59.62543487548828,40.99800109863281,22.463472366333008
2016-01-19,167.3800048828125,32.5,43.120948791503906,55.59163284301758,66.94999694824219,33.033199310302734,9.5620756149292,24.568655014038086,1.9500000476837158,18.850000381469727,31.040000915527344,32.20000076293945,40.689998626708984,56.66999816894531,14.987434387207031,23.712345123291016,33.4313850402832,10.599936485290527,77.01000213623047,36.6287727355957,27.978670120239258,66.65401458740234,58.910709381103516,40.944000244140625,22.354780197143555
2016-01-20,170.50999450683594,32.619998931884766,42.81369400024414,56.741878509521484,66.43000030517578,32.69567108154297,9.452361106872559,24.469728469848633,1.7999999523162842,19.040000915527344,30.81999969482422,31.200000762939453,40.939998626708984,57.25,15.217159271240234,23.1624813079834,33.208194732666016,10.670571327209473,76.61000061035156,36.42466354370117,27.78501319885254,66.5497817993164,57.50686264038086,39.7400016784668,22.384841918945312
2016-01-21,169.4499969482422,32.970001220703125,42.52659606933594,55.367431640625,65.58000183105469,32.642372131347656,9.427044868469238,24.362545013427734,2.0899999141693115,18.93000030517578,31.420000076293945,31.200000762939453,40.689998626708984,55.560001373291016,15.336614608764648,23.10309600830078,33.739898681640625,10.59162425994873,76.86000061035156,36.744747161865234,26.955059051513672,67.0993881225586,58.400238037109375,39.99399948120117,22.271520614624023
