Date,TSLA,AAPL,SQ
2016-01-04,44.68199920654297,24.36453628540039,12.15999984741211
2016-01-05,44.68600082397461,23.753976821899414,11.510000228881836
2016-01-06,43.80799865722656,23.28911590576172,11.520000457763672
2016-01-07,43.130001068115234,22.30620765686035,11.15999984741211
2016-01-08,42.20000076293945,22.42415428161621,11.3100004196167
2016-01-11,41.56999969482422,22.78725814819336,11.84000015258789
2016-01-12,41.99399948120117,23.11797523498535,12.09000015258789
2016-01-13,40.0620002746582,22.523605346679688,11.609999656677246
2016-01-14,41.236000061035156,23.016216278076172,10.819999694824219
2016-01-15,40.99800109863281,22.463472366333008,10.270000457763672
2016-01-19,40.944000244140625,22.354780197143555,9.470000267028809
2016-01-20,39.7400016784668,22.384841918945312,9.489999771118164
2016-01-21,39.99399948120117,22.271520614624023,10.020000457763672
2016-01-22,40.5099983215332,23.45563316345215,9.850000381469727
2016-01-25,39.2760009765625,22.997716903686523,9.8100004196167
2016-01-26,38.71200180053711,23.124914169311523,9.539999961853027
2016-01-27,37.61399841308594,21.605453491210938,9.050000190734863
2016-01-28,37.939998626708984,21.76041030883789,8.739999771118164
2016-01-29,38.2400016784668,22.512041091918945,8.770000457763672
2016-02-01,39.38800048828125,22.30158233642578,8.760000228881836
2016-02-02,36.555999755859375,21.850603103637695,8.470000267028809
2016-02-03,34.69599914550781,22.283084869384766,8.430000305175781
2016-02-04,35.066001892089844,22.462125778198242,8.899999618530273
2016-02-05,32.52000045776367,21.86220932006836,8.630000114440918
2016-02-08,29.597999572753906,22.092409133911133,8.369999885559082
2016-02-09,29.649999618530273,22.087757110595703,8.619999885559082
2016-02-10,28.733999252319336,21.920339584350586,8.880000114440918
2016-02-11,30.0939998626709,21.787796020507812,8.619999885559082
2016-02-12,30.20800018310547,21.85523223876953,9.300000190734863
2016-02-16,31.034000396728516,22.47142791748047,9.930000305175781
2016-02-17,33.736000061035156,22.81556510925293,9.84000015258789
2016-02-18,33.354000091552734,22.38306999206543,9.979999542236328
2016-02-19,33.316001892089844,22.33191680908203,9.970000267028809
2016-02-22,35.54800033569336,22.527231216430664,10.380000114440918
2016-02-23,35.44200134277344,22.018001556396484,9.710000038146973
2016-02-24,35.79999923706055,22.345863342285156,9.890000343322754
2016-02-25,37.486000061035156,22.499330520629883,10.260000228881836
2016-02-26,38.06800079345703,22.534208297729492,10.319999694824219
2016-02-29,38.38600158691406,22.483057022094727,10.4399995803833
2016-03-01,37.27000045776367,23.37596321105957,10.720000267028809
2016-03-02,37.667999267578125,23.42711639404297,11.970000267028809
2016-03-03,39.14799880981445,23.601511001586914,12.25
2016-03-04,40.20800018310547,23.952627182006836,12.010000228881836
2016-03-07,41.05799865722656,23.687551498413086,12.260000228881836
2016-03-08,40.52000045776367,23.492223739624023,11.479999542236328
2016-03-09,41.74399948120117,23.513154983520508,12.029999732971191
2016-03-10,41.0359992980957,23.5247745513916,11.300000190734863
2016-03-11,41.5,23.778234481811523,11.100000381469727
2016-03-14,43.029998779296875,23.838687896728516,11.609999656677246
2016-03-15,43.667999267578125,24.31770133972168,11.949999809265137
2016-03-16,44.38600158691406,24.640911102294922,11.869999885559082
2016-03-17,45.2760009765625,24.60137939453125,11.949999809265137
2016-03-18,46.54800033569336,24.629283905029297,12.039999961853027
2016-03-21,47.66400146484375,24.6269588470459,13.399999618530273
2016-03-22,46.847999572753906,24.8153018951416,13.0600004196167
2016-03-23,44.51599884033203,24.678110122680664,12.59000015258789
2016-03-24,45.54999923706055,24.571147918701172,12.880000114440918
2016-03-28,46.051998138427734,24.45953369140625,13.399999618530273
2016-03-29,46.0260009765625,25.03852653503418,13.739999771118164
2016-03-30,45.37799835205078,25.475679397583008,15.020000457763672
2016-03-31,45.95399856567383,25.343137741088867,15.279999732971191
2016-04-01,47.518001556396484,25.575666427612305,14.220000267028809
2016-04-04,49.39799880981445,25.838420867919922,14.279999732971191
2016-04-05,51.09400177001953,25.533809661865234,14.260000228881836
2016-04-06,53.08399963378906,25.80121612548828,14.970000267028809
2016-04-07,51.439998626708984,25.238500595092773,14.8100004196167
2016-04-08,50.013999938964844,25.266407012939453,15.130000114440918
2016-04-11,49.98400115966797,25.350114822387695,15.359999656677246
2016-04-12,49.56399917602539,25.68030548095703,15.479999542236328
2016-04-13,50.90599822998047,26.052345275878906,15.010000228881836
2016-04-14,50.37200164794922,26.06629753112793,14.819999694824219
2016-04-15,50.902000427246094,25.54311180114746,14.329999923706055
2016-04-18,50.7760009765625,24.992023468017578,14.510000228881836
2016-04-19,49.4739990234375,24.85948371887207,14.09000015258789
2016-04-20,49.99399948120117,24.910642623901367,13.630000114440918
2016-04-21,49.65800094604492,24.640911102294922,13.239999771118164
2016-04-22,50.75,24.57347869873047,13.34000015258789
2016-04-25,50.36399841308594,24.4339599609375,13.59000015258789
2016-04-26,50.74800109863281,24.264211654663086,14.180000305175781
2016-04-27,50.29399871826172,22.745811462402344,14.6899995803833
2016-04-28,49.54199981689453,22.05055809020996,15.350000381469727
2016-04-29,48.152000427246094,21.797100067138672,14.890000343322754
2016-05-02,48.36000061035156,21.773847579956055,14.0
2016-05-03,46.4640007019043,22.13193702697754,13.449999809265137
2016-05-04,44.512001037597656,21.90174102783203,13.390000343322754
2016-05-05,42.305999755859375,21.81283950805664,13.050000190734863
2016-05-06,42.986000061035156,21.69118881225586,10.220000267028809
2016-05-09,41.784000396728516,21.707569122314453,9.850000381469727
2016-05-10,41.737998962402344,21.854948043823242,10.0
2016-05-11,41.79199981689453,21.642059326171875,9.680000305175781
