Date,MO,ADM,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WBA,WMT
1/4/16,43.45789719,30.36071968,44.29293442,38.73947144,35.99090958,57.23984909,28.26915359,131.3058167,141.6010742,21.70202446,82.46408844,47.6412735,35.33816528,105.8970795,60.77544022,108.0499725,59.13299179,37.23044968,38.76857758,82.86858368,39.5220108,48.11333466,85.24925995,67.43103027,67.05548859,35.50089645,109.8390732,77.67169189,48.36294937,71.80337524,54.82660294
1/5/16,44.33629227,30.6995697,44.45583725,38.41012573,36.11823654,57.49637222,28.28957367,134.0404053,141.9472046,21.69332314,83.22055054,47.42569733,36.05649567,106.6931534,60.99610519,110.2711182,59.6942215,38.0716629,38.83298111,83.18287659,39.84693146,48.68999863,85.83614349,68.10533142,67.26937103,35.52711868,111.4259796,77.38921356,47.76023865,69.91860199,56.12902832
1/6/16,44.80578613,29.95410156,44.37868118,38.22919083,35.92301178,56.73564911,28.43928337,133.5737305,140.633606,21.02356339,80.45943451,47.03601456,36.17847443,105.9143677,61.11492538,110.2198639,59.80809402,38.03548813,38.76398468,81.53068542,39.70252991,48.76666641,85.86206055,68.08983612,66.61911774,35.40379333,111.3733749,77.44218445,47.72371292,68.84651947,56.69104767
1/7/16,44.02583313,29.2425251,43.83695984,37.61221695,35.3288269,55.73609543,27.46613121,139.6308594,137.4117889,20.41468811,78.79523468,46.05000687,35.52338791,104.1058807,59.72305298,108.3746109,58.48229218,37.14904404,38.49717712,81.12664032,37.53643417,48.40000153,84.21350861,67.62478638,66.03726959,35.05142975,110.1546936,75.65024567,47.64152145,70.17796326,58.01130676
1/8/16,44.10155106,29.13240242,44.08712006,38.06682968,35.2354393,55.3291893,27.60223007,137.1949615,135.0065002,20.37989616,78.31299591,46.20042419,35.31557465,103.8722534,60.6651001,106.982132,57.89666367,36.9048233,38.46959305,80.11199188,36.99491882,48.08333206,83.90278625,67.20625305,65.00197601,35.06023788,110.6281433,74.9617157,47.76023865,70.07421112,56.68211365
1/11/16,45.02537918,28.93755913,44.33727264,38.32662201,35.29486084,55.55918503,27.35044098,137.2415771,137.3230591,19.78841972,78.36972046,46.71848679,35.25683975,104.4779587,60.72450638,107.3921661,58.78325272,37.33899307,38.68577957,79.43854523,37.61766815,48.68000031,84.10132599,69.11291504,65.600914,35.34213638,111.9432678,74.3702774,48.14377594,70.04828644,57.28872299
1/12/16,44.96480179,29.03074455,46.13146591,38.84152985,35.75324249,56.06337357,27.69070435,137.2322845,138.5123138,20.13634491,79.64627075,47.1028595,35.92096329,105.282692,60.65661621,107.7509918,59.56409454,37.30281067,39.33437729,80.43524933,38.01478577,49.09999847,84.25666809,69.05091858,65.46401978,35.85305786,112.5745239,75.04114532,48.92913437,70.73993683,56.75348663
1/13/16,43.7532196,28.35304832,45.53627777,36.48497009,35.52405167,55.6476326,26.9012928,134.5163727,135.0153809,19.6318531,78.57776642,46.20877457,35.43754959,103.1107559,60.17286682,107.1785965,57.59569931,35.45756531,39.04457474,78.64836884,36.63389969,47.88999939,83.29000092,68.4463501,64.89930725,35.27165985,112.3202667,73.7964859,48.50905991,69.10587311,55.23696518
1/14/16,44.08641052,28.25987053,46.14009094,36.29014206,35.54951477,56.19606018,27.24155426,133.6950684,135.956192,19.25782967,79.69353485,46.2505455,35.75043488,104.097229,60.82634735,108.6735992,57.53876877,35.30380249,39.1135788,77.88515472,37.32885742,47.47333145,82.69445038,68.11306763,65.1559906,35.35094452,111.6276398,74.65274811,48.31729126,70.78318024,56.25392914
1/15/16,43.31402206,26.69269943,45.70878983,36.61486053,35.22695541,56.03683853,26.56783295,133.2284088,133.4799194,18.95339012,77.86854553,45.74084091,34.51704025,102.3319855,59.97766495,107.0931931,56.2861557,34.81535721,38.50637817,77.24761963,36.38119507,47.04333115,81.07180786,66.88070679,64.15491486,35.11309433,111.2243347,73.54933167,47.02055359,69.10587311,55.24588394
